customer_id,subscription_tier,subscription_start,subscription_end
CUST0001,Standard,2023-08-13,
CUST0002,Premium,2023-05-06,2023-08-19
CUST0003,Standard,2023-05-10,2023-07-31
CUST0004,Standard,2023-02-22,2023-06-08
CUST0005,Basic,2023-06-21,
CUST0006,Basic,2023-08-06,
CUST0007,Basic,2023-06-09,2023-09-13
CUST0008,Premium,2023-07-17,
CUST0009,Standard,2023-09-04,
CUST0010,Standard,2023-11-20,2024-02-21
CUST0011,Basic,2023-07-22,2023-11-04
CUST0012,Premium,2023-07-03,
CUST0013,Premium,2023-05-03,
CUST0014,Basic,2023-09-12,
CUST0015,Basic,2023-10-21,
CUST0016,Basic,2023-10-07,
CUST0017,Basic,2023-11-21,
CUST0018,Standard,2023-04-08,2023-07-11
CUST0019,Standard,2023-07-17,
CUST0020,Basic,2023-08-28,
CUST0021,Standard,2023-05-24,
CUST0022,Basic,2023-04-07,
CUST0023,Basic,2023-07-20,
CUST0024,Standard,2023-05-04,2023-08-20
CUST0025,Standard,2023-07-06,
CUST0026,Standard,2023-11-22,
CUST0027,Basic,2023-12-15,2024-04-07
CUST0028,Standard,2023-09-16,
CUST0029,Standard,2023-05-28,
CUST0030,Basic,2023-09-09,
CUST0031,Standard,2023-12-12,2024-05-11
CUST0032,Basic,2023-05-27,
CUST0033,Basic,2023-05-28,2023-09-23
CUST0034,Premium,2023-12-18,
CUST0035,Premium,2023-07-18,2023-10-28
CUST0036,Premium,2023-11-04,
CUST0037,Basic,2023-05-08,
CUST0038,Basic,2023-02-08,2023-08-07
CUST0039,Standard,2023-12-04,
CUST0040,Standard,2023-12-26,
CUST0041,Basic,2023-05-09,2023-08-03
CUST0042,Standard,2023-09-24,
CUST0043,Basic,2023-05-31,
CUST0044,Premium,2023-10-25,2024-02-11
CUST0045,Basic,2023-04-09,2023-07-19
CUST0046,Standard,2023-09-20,
CUST0047,Basic,2023-09-09,
CUST0048,Standard,2023-05-24,
CUST0049,Standard,2023-12-12,
CUST0050,Basic,2023-04-22,
CUST0051,Premium,2023-03-01,
CUST0052,Standard,2023-01-02,
CUST0053,Premium,2023-10-31,
CUST0054,Premium,2023-09-11,
CUST0055,Standard,2023-05-20,
CUST0056,Premium,2023-02-06,2023-06-01
CUST0057,Basic,2023-06-09,
CUST0058,Basic,2023-01-09,
CUST0059,Basic,2023-08-21,2023-10-31
CUST0060,Basic,2023-04-09,
CUST0061,Standard,2023-05-27,
CUST0062,Basic,2023-10-31,
CUST0063,Premium,2023-07-27,
CUST0064,Standard,2023-05-11,
CUST0065,Basic,2023-06-01,
CUST0066,Standard,2023-02-23,
CUST0067,Basic,2023-04-30,
CUST0068,Premium,2023-06-10,
CUST0069,Basic,2023-04-26,2023-08-02
CUST0070,Premium,2023-03-16,
CUST0071,Standard,2023-04-23,
CUST0072,Basic,2023-04-14,
CUST0073,Basic,2023-12-06,2024-02-12
CUST0074,Premium,2023-09-11,
CUST0075,Standard,2023-08-15,2023-12-09
CUST0076,Standard,2023-04-22,
CUST0077,Standard,2023-04-09,2023-07-28
CUST0078,Basic,2023-06-02,
CUST0079,Standard,2023-12-15,
CUST0080,Basic,2023-12-04,2024-03-16
CUST0081,Premium,2023-07-13,2023-10-19
CUST0082,Standard,2023-11-06,2024-03-04
CUST0083,Basic,2023-06-12,2023-10-28
CUST0084,Basic,2023-07-27,
CUST0085,Basic,2023-06-18,2023-09-19
CUST0086,Basic,2023-06-10,
CUST0087,Standard,2023-03-09,
CUST0088,Standard,2023-10-16,
CUST0089,Premium,2023-10-04,
CUST0090,Standard,2023-10-31,2024-02-19
CUST0091,Basic,2023-05-15,
CUST0092,Standard,2023-07-14,
CUST0093,Standard,2023-05-08,2023-10-26
CUST0094,Standard,2023-02-02,
CUST0095,Standard,2023-06-25,
CUST0096,Standard,2023-01-22,
CUST0097,Standard,2023-08-26,
CUST0098,Standard,2023-06-07,
CUST0099,Basic,2023-02-07,
CUST0100,Basic,2023-08-18,
CUST0101,Basic,2023-12-31,
CUST0102,Standard,2023-02-20,2023-08-12
CUST0103,Basic,2023-09-21,2024-01-08
CUST0104,Standard,2023-10-10,
CUST0105,Premium,2023-01-27,2023-05-17
CUST0106,Basic,2023-08-14,
CUST0107,Standard,2023-10-04,
CUST0108,Standard,2023-10-13,2024-02-10
CUST0109,Basic,2023-04-07,2023-07-22
CUST0110,Basic,2023-10-11,2024-01-25
CUST0111,Basic,2023-11-13,2024-03-01
CUST0112,Basic,2023-10-31,
CUST0113,Premium,2023-05-27,
CUST0114,Premium,2023-01-04,
CUST0115,Standard,2023-02-04,
CUST0116,Premium,2023-07-11,
CUST0117,Premium,2023-02-18,
CUST0118,Basic,2023-01-17,
CUST0119,Premium,2023-06-21,
CUST0120,Standard,2023-08-08,
CUST0121,Premium,2023-06-07,2023-10-02
CUST0122,Premium,2023-02-15,
CUST0123,Basic,2023-01-06,
CUST0124,Basic,2023-04-09,
CUST0125,Basic,2023-08-21,2023-11-21
CUST0126,Standard,2023-02-06,2023-05-21
CUST0127,Premium,2023-10-07,
CUST0128,Premium,2023-12-15,2024-03-25
CUST0129,Basic,2023-10-29,
CUST0130,Standard,2023-06-30,
CUST0131,Standard,2023-04-05,
CUST0132,Basic,2023-04-09,
CUST0133,Basic,2023-07-07,2023-10-29
CUST0134,Basic,2023-04-26,2023-08-20
CUST0135,Premium,2023-07-10,
CUST0136,Basic,2023-09-10,
CUST0137,Standard,2023-06-10,
CUST0138,Standard,2023-09-13,
CUST0139,Standard,2023-11-19,2024-02-28
CUST0140,Premium,2023-05-08,
CUST0141,Premium,2023-01-18,
CUST0142,Basic,2023-10-08,2024-01-24
CUST0143,Standard,2023-08-11,2023-11-27
CUST0144,Basic,2023-02-23,
CUST0145,Basic,2023-02-27,
CUST0146,Basic,2023-11-19,
CUST0147,Standard,2023-12-26,
CUST0148,Standard,2023-06-23,
CUST0149,Basic,2023-10-07,
CUST0150,Basic,2023-04-24,
